task_id,text,generated_code,stdout,stderr,returncode,result,corrected_code,corrected_result
11,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_first_last(s, char):
    first = s.find(char)
    if first == -1:
        return s
    last = s.rfind(char)
    if first == last:
        return s[:first] + s[first+1:]
    return s[:first] + s[first+1:last] + s[last+1:]",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmpk6lrc05d.py"", line 10, in <module>
    assert remove_Occ(""hello"",""l"") == ""heo""
           ^^^^^^^^^^
NameError: name 'remove_Occ' is not defined
",1,runtime_error,"def remove_Occ(s, char):
    first = s.find(char)
    if first == -1:
        return s
    last = s.rfind(char)
    if first == last:
        return s[:first] + s[first+1:]
    return s[:first] + s[first+1:last] + s[last+1:]",pass
12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix_by_row_sum(matrix):
    return sorted(matrix, key=sum)",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmpegzwczl6.py"", line 4, in <module>
    assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
           ^^^^^^^^^^^
NameError: name 'sort_matrix' is not defined
",1,runtime_error,"def sort_matrix(matrix):
    return sorted(matrix, key=sum)",pass
14,Write a python function to find the volume of a triangular prism.,"def triangular_prism_volume(base, triangle_height, prism_length):
    """"""
    Calculate the volume of a triangular prism.
    
    Args:
        base (float): The base length of the triangular face.
        triangle_height (float): The perpendicular height of the triangular face.
        prism_length (float): The length of the prism (distance between the two triangular faces).
    
    Returns:
        float: The volume of the triangular prism.
    """"""
    return 0.5 * base * triangle_height * prism_length",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmpg7zawb6x.py"", line 15, in <module>
    assert find_Volume(10,8,6) == 240
           ^^^^^^^^^^^
NameError: name 'find_Volume' is not defined
",1,runtime_error,"def find_Volume(base, triangle_height, prism_length):
    """"""
    Calculate the volume of a triangular prism.
    
    Args:
        base (float): The base length of the triangular face.
        triangle_height (float): The perpendicular height of the triangular face.
        prism_length (float): The length of the prism (distance between the two triangular faces).
    
    Returns:
        float: The volume of the triangular prism.
    """"""
    return 0.5 * base * triangle_height * prism_length",pass
16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"import re

def has_lower_underscore_sequence(text):
    return bool(re.search(r'[a-z]+_[a-z]+', text))",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmptygvmius.py"", line 6, in <module>
    assert text_lowercase_underscore(""aab_cbbbc"")==(True)
           ^^^^^^^^^^^^^^^^^^^^^^^^^
NameError: name 'text_lowercase_underscore' is not defined
",1,runtime_error,"import re

def text_lowercase_underscore(text):
    return bool(re.search(r'[a-z]+_[a-z]+', text))",assertion_error
17,Write a function that returns the perimeter of a square given its side length as input.,"def square_perimeter(side_length):
    return 4 * side_length",,,0,pass,,skipped
18,Write a function to remove characters from the first string which are present in the second string.,"def remove_chars(first, second):
    second_set = set(second)
    return """".join(char for char in first if char not in second_set)",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmp21pv38kx.py"", line 5, in <module>
    assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
           ^^^^^^^^^^^^^^^^^^
NameError: name 'remove_dirty_chars' is not defined
",1,runtime_error,"def remove_dirty_chars(first, second):
    second_set = set(second)
    return """".join(char for char in first if char not in second_set)",pass
19,Write a function to find whether a given array of integers contains any duplicate element.,"def has_duplicates(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return True
        seen.add(num)
    return False",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmppk9fpebx.py"", line 9, in <module>
    assert test_duplicate(([1,2,3,4,5]))==False
           ^^^^^^^^^^^^^^
NameError: name 'test_duplicate' is not defined. Did you mean: 'has_duplicates'?
",1,runtime_error,"def test_duplicate(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return True
        seen.add(num)
    return False",pass
20,Write a function to check if the given number is woodball or not.,"def is_woodball(num):
    if num < 1:
        return False
    target = num + 1
    n = 1
    while True:
        current = n * (2 ** n)
        if current == target:
            return True
        if current > target:
            return False
        n += 1",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmptewj6s3_.py"", line 14, in <module>
    assert is_woodall(383) == True
           ^^^^^^^^^^
NameError: name 'is_woodall' is not defined. Did you mean: 'is_woodball'?
",1,runtime_error,"def is_woodall(num):
    if num < 1:
        return False
    target = num + 1
    n = 1
    while True:
        current = n * (2 ** n)
        if current == target:
            return True
        if current > target:
            return False
        n += 1",pass
56,Write a python function to check if a given number is one less than twice its reverse.,"def is_one_less_than_twice_reverse(n):
    if not isinstance(n, int) or n < 0:
        return False
    
    original = n
    rev = 0
    while n > 0:
        rev = rev * 10 + n % 10
        n //= 10
    
    return original == 2 * rev - 1",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmp4n9rm38x.py"", line 13, in <module>
    assert check(70) == False
           ^^^^^
NameError: name 'check' is not defined
",1,runtime_error,"def check(n):
    if not isinstance(n, int) or n < 0:
        return False
    
    original = n
    rev = 0
    while n > 0:
        rev = rev * 10 + n % 10
        n //= 10
    
    return original == 2 * rev - 1",pass
57,Write a python function to find the largest number that can be formed with the given list of digits.,"def largest_number(digits):
    if not digits:
        return 0
    digits.sort(reverse=True)
    return int(''.join(map(str, digits)))",,"Traceback (most recent call last):
  File ""/var/folders/rq/32p47s156l7gqkcsl_lbsxcr0000gn/T/tmp5ixe5na1.py"", line 7, in <module>
    assert find_Max_Num([1,2,3]) == 321
           ^^^^^^^^^^^^
NameError: name 'find_Max_Num' is not defined
",1,runtime_error,"def find_Max_Num(digits):
    if not digits:
        return 0
    digits.sort(reverse=True)
    return int(''.join(map(str, digits)))",pass
